review_id,prompt_version,true_stars,predicted_stars,explanation,json_valid
0,v1,4,4,Mostly positive experience.,True
0,v2,4,1,Very negative sentiment detected.,True
0,v3,4,4,Mostly positive experience.,True
1,v1,5,5,Very positive sentiment detected.,True
1,v2,5,1,Very negative sentiment detected.,True
1,v3,5,4,Mostly positive experience.,True
2,v1,3,4,Mostly positive experience.,True
2,v2,3,1,Very negative sentiment detected.,True
2,v3,3,4,Mostly positive experience.,True
3,v1,1,1,Very negative sentiment detected.,True
3,v2,1,1,Very negative sentiment detected.,True
3,v3,1,2,Mostly negative experience.,True
4,v1,5,5,Very positive sentiment detected.,True
4,v2,5,1,Very negative sentiment detected.,True
4,v3,5,5,Very positive sentiment detected.,True
5,v1,4,3,Mixed or neutral sentiment.,True
5,v2,4,1,Very negative sentiment detected.,True
5,v3,4,3,Mixed or neutral sentiment.,True
6,v1,4,4,Mostly positive experience.,True
6,v2,4,1,Very negative sentiment detected.,True
6,v3,4,5,Very positive sentiment detected.,True
7,v1,4,4,Mostly positive experience.,True
7,v2,4,1,Very negative sentiment detected.,True
7,v3,4,4,Mostly positive experience.,True
8,v1,5,4,Mostly positive experience.,True
8,v2,5,2,Mostly negative experience.,True
8,v3,5,5,Very positive sentiment detected.,True
9,v1,1,3,Mixed or neutral sentiment.,True
9,v2,1,1,Very negative sentiment detected.,True
9,v3,1,3,Mixed or neutral sentiment.,True
10,v1,4,5,Very positive sentiment detected.,True
10,v2,4,2,Mostly negative experience.,True
10,v3,4,4,Mostly positive experience.,True
11,v1,5,4,Mostly positive experience.,True
11,v2,5,1,Very negative sentiment detected.,True
11,v3,5,4,Mostly positive experience.,True
12,v1,3,3,Mixed or neutral sentiment.,True
12,v2,3,2,Mostly negative experience.,True
12,v3,3,3,Mixed or neutral sentiment.,True
13,v1,4,5,Very positive sentiment detected.,True
13,v2,4,2,Mostly negative experience.,True
13,v3,4,5,Very positive sentiment detected.,True
14,v1,5,3,Mixed or neutral sentiment.,True
14,v2,5,1,Very negative sentiment detected.,True
14,v3,5,3,Mixed or neutral sentiment.,True
15,v1,2,4,Mostly positive experience.,True
15,v2,2,2,Mostly negative experience.,True
15,v3,2,5,Very positive sentiment detected.,True
16,v1,4,4,Mostly positive experience.,True
16,v2,4,1,Very negative sentiment detected.,True
16,v3,4,4,Mostly positive experience.,True
17,v1,4,3,Mixed or neutral sentiment.,True
17,v2,4,2,Mostly negative experience.,True
17,v3,4,3,Mixed or neutral sentiment.,True
18,v1,5,4,Mostly positive experience.,True
18,v2,5,2,Mostly negative experience.,True
18,v3,5,5,Very positive sentiment detected.,True
19,v1,5,3,Mixed or neutral sentiment.,True
19,v2,5,2,Mostly negative experience.,True
19,v3,5,3,Mixed or neutral sentiment.,True
20,v1,5,5,Very positive sentiment detected.,True
20,v2,5,1,Very negative sentiment detected.,True
20,v3,5,4,Mostly positive experience.,True
21,v1,5,5,Very positive sentiment detected.,True
21,v2,5,1,Very negative sentiment detected.,True
21,v3,5,4,Mostly positive experience.,True
22,v1,1,3,Mixed or neutral sentiment.,True
22,v2,1,2,Mostly negative experience.,True
22,v3,1,3,Mixed or neutral sentiment.,True
23,v1,4,4,Mostly positive experience.,True
23,v2,4,2,Mostly negative experience.,True
23,v3,4,5,Very positive sentiment detected.,True
24,v1,4,5,Very positive sentiment detected.,True
24,v2,4,1,Very negative sentiment detected.,True
24,v3,4,5,Very positive sentiment detected.,True
25,v1,4,4,Mostly positive experience.,True
25,v2,4,1,Very negative sentiment detected.,True
25,v3,4,5,Very positive sentiment detected.,True
26,v1,1,3,Mixed or neutral sentiment.,True
26,v2,1,1,Very negative sentiment detected.,True
26,v3,1,3,Mixed or neutral sentiment.,True
27,v1,4,5,Very positive sentiment detected.,True
27,v2,4,1,Very negative sentiment detected.,True
27,v3,4,5,Very positive sentiment detected.,True
28,v1,2,1,Very negative sentiment detected.,True
28,v2,2,1,Very negative sentiment detected.,True
28,v3,2,2,Mostly negative experience.,True
29,v1,2,2,Mostly negative experience.,True
29,v2,2,2,Mostly negative experience.,True
29,v3,2,2,Mostly negative experience.,True
30,v1,1,3,Mixed or neutral sentiment.,True
30,v2,1,2,Mostly negative experience.,True
30,v3,1,3,Mixed or neutral sentiment.,True
31,v1,1,3,Mixed or neutral sentiment.,True
31,v2,1,2,Mostly negative experience.,True
31,v3,1,3,Mixed or neutral sentiment.,True
32,v1,3,4,Mostly positive experience.,True
32,v2,3,2,Mostly negative experience.,True
32,v3,3,5,Very positive sentiment detected.,True
33,v1,4,5,Very positive sentiment detected.,True
33,v2,4,1,Very negative sentiment detected.,True
33,v3,4,4,Mostly positive experience.,True
34,v1,5,5,Very positive sentiment detected.,True
34,v2,5,1,Very negative sentiment detected.,True
34,v3,5,4,Mostly positive experience.,True
35,v1,5,4,Mostly positive experience.,True
35,v2,5,1,Very negative sentiment detected.,True
35,v3,5,4,Mostly positive experience.,True
36,v1,5,4,Mostly positive experience.,True
36,v2,5,2,Mostly negative experience.,True
36,v3,5,5,Very positive sentiment detected.,True
37,v1,5,5,Very positive sentiment detected.,True
37,v2,5,2,Mostly negative experience.,True
37,v3,5,5,Very positive sentiment detected.,True
38,v1,4,4,Mostly positive experience.,True
38,v2,4,2,Mostly negative experience.,True
38,v3,4,5,Very positive sentiment detected.,True
39,v1,2,1,Very negative sentiment detected.,True
39,v2,2,1,Very negative sentiment detected.,True
